Unique Id,Price
11001,362065.1185665784
11002,1087441.0286789509
11003,1291001.9713591698
11004,2917898.45062115
11005,2916102.8925724146
11006,2644611.6875001444
11007,1537734.6617146847
11008,2574091.462501899
11009,448009.6245579538
11010,1197217.5487203724
11011,2912566.065575125
11012,1373895.5976253503
11013,1604343.3341599375
11014,1753204.2070298435
11015,684385.4185625925
11016,800786.1032755205
11017,2630450.042190633
11018,199139.7809810134
11019,593951.4910947996
11020,403672.12008657196
11021,216439.63344178748
11022,554326.6399583939
11023,366763.73594492197
11024,494182.0975539514
11025,1473857.399487512
11026,3080033.1020579194
11027,911276.084674855
11028,377911.0272625257
11029,716230.9413133264
11030,1741398.7261378402
11031,709436.2953801812
11032,650471.9660554157
11033,750842.3947206612
11034,915157.9867150198
11035,624173.6528878835
11036,430974.77231428144
11037,704048.7399727028
11038,743051.8647618676
11039,910324.9268216973
11040,1046183.3639069257
11041,1800946.4436338174
11042,294740.84426582075
11043,1036526.3790878801
11044,283878.38442366564
11045,794711.9277804015
11046,1116931.2289356834
11047,1343069.0827319236
11048,676126.6267132057
11049,2542795.863609307
11050,1417400.0527098267
11051,451776.60320901714
11052,861386.7263073409
11053,2119104.1163100963
11054,787547.883857245
11055,173802.80921718196
11056,1471720.9897279718
11057,544409.6033159678
11058,1082583.1793924037
11059,398385.3299754178
11060,1105924.729348357
11061,251219.92197596995
11062,755693.7351151283
11063,1809067.1667718631
11064,789626.2093631289
11065,747444.0762672665
11066,217472.9136534245
11067,2164559.7750171907
11068,889757.7888986934
11069,873238.3758389907
11070,1641096.9077367184
11071,1574925.5342902245
11072,1956817.6894658438
11073,1046740.4537309597
11074,1822217.2586678162
11075,980698.7483212812
11076,1094600.0818516593
11077,257207.5742367548
11078,289788.3976533069
11079,1219507.5718331423
11080,2539992.702753378
11081,388239.4372172167
11082,570379.2432777995
11083,1268326.7565926695
11084,511872.166621233
11085,451601.25908536493
11086,256188.56720878984
11087,550902.2881180815
11088,193175.3822534678
11089,588611.6483233791
11090,1073234.20273178
11091,1976582.720687373
11092,2224763.216364346
11093,216199.75819658354
11094,2517275.3967092247
11095,1028350.1049284615
11096,544469.326726348
11097,964693.8115686409
11098,1086690.8927231417
11099,1129497.0095213423
11100,2357185.2943189275
11101,1222916.02777144
11102,1233209.4424042618
11103,562503.2509229075
11104,1046695.7453650822
11105,359802.75799335685
11106,975762.6985677817
11107,3746415.0768956663
11108,400920.4825242741
11109,1817488.0644197462
11110,240098.86224067167
11111,342352.2511954707
11112,293739.2950235577
11113,1621468.6317579346
11114,4420791.987415783
11115,526535.7687704318
11116,186365.7476512786
11117,988447.4545226828
11118,626716.0930160416
11119,1963446.5480552907
11120,1158597.3819239158
11121,1735433.1082653587
11122,574081.6177884876
11123,283192.1686042363
11124,1741341.8359300669
11125,680602.5417192072
11126,454268.95138946926
11127,859358.8006234182
11128,647874.2137171832
11129,1952161.633381595
11130,2329246.900534933
11131,583438.2857478411
11132,596512.3724209516
11133,360263.2775347766
11134,1216265.2383048988
11135,1483659.4174214837
11136,329674.5296244489
11137,524450.2885513545
11138,1200778.3221905346
11139,384394.02664957516
11140,2885870.5123970904
11141,1691416.470478096
11142,1011547.2550940469
11143,783125.9671062191
11144,2055403.4047366586
11145,635931.4347780828
11146,897837.7007011552
11147,1261175.4668006538
11148,1290549.010443407
11149,1023750.6390209321
11150,873315.6636453741
11151,1049180.9819766413
11152,1458492.2402215134
11153,2064160.098764574
11154,1747515.2162569545
11155,1457519.508782625
11156,1170463.699496268
11157,254611.1695532712
11158,890155.858103665
11159,917784.2830888031
11160,979814.3475377072
11161,880413.2027424632
11162,984990.0320269077
11163,1059365.0111472984
11164,1507844.5417875983
11165,1286766.6948209498
11166,2214832.0606803093
11167,219278.35223689993
11168,841453.3419998398
11169,1208988.0310799778
11170,509679.5465728144
11171,2320658.132337416
11172,1464352.2340605964
11173,1315214.1480805597
11174,1898270.38708288
11175,539707.7347212741
11176,448170.4142670335
11177,741741.0055892556
11178,2616718.3171604318
11179,1298100.0365316048
11180,1291445.3581409082
11181,563961.7897351618
11182,1833925.3959022935
11183,636505.1968212734
11184,302534.5936810448
11185,357483.4112804413
11186,1352911.7698924562
11187,258915.55275887504
11188,645365.6483544816
11189,569754.7019254465
11190,639228.9344544193
11191,1071525.7370924167
11192,1036790.3331310657
11193,1885958.6340002299
11194,907599.305100789
11195,416640.6424761501
11196,429534.02884139575
11197,750203.57946627
11198,2913830.8837097506
11199,401657.8551377384
11200,453539.0932428597
11201,927891.7112390938
11202,627284.0267011418
11203,1177025.963874774
11204,1508457.367885322
11205,910042.5251986048
11206,725650.3301369447
11207,1384242.0089252624
11208,1082571.1390617571
11209,781128.4658411518
11210,768294.8586519756
11211,1575401.5661199025
11212,505477.40179753886
11213,1593529.303788102
11214,1758499.961660087
11215,342147.8627065192
11216,1929077.5944579432
11217,1207869.9612876743
11218,452815.33061124396
11219,108769.82260075212
11220,299024.67806751246
11221,2143491.8324373667
11222,1320960.2927693038
11223,1328275.8231408815
11224,732451.2647367646
11225,328390.84526890184
11226,370514.8148716924
11227,415421.6659045984
11228,1992652.825689765
11229,875425.3489355145
11230,1401230.5456692846
11231,1246251.3720168802
11232,760198.8051024897
11233,1089547.3220274472
11234,806849.781745174
11235,680191.7916670057
11236,2202547.281950182
11237,424191.9627526283
11238,324697.7353271679
11239,1551955.4544853815
11240,443067.25120278896
11241,2020021.0190099247
11242,640962.9939519853
11243,718419.1096217751
11244,915014.9970327122
11245,4113102.1428711955
11246,393116.2562040786
11247,1682587.822914649
11248,1470181.7581312277
11249,239271.65688660546
11250,1498615.5849054097
11251,323432.167006729
11252,569478.1931971945
11253,1184856.1104285584
11254,432784.21577848686
11255,845273.2621149844
11256,695991.3138753744
11257,980706.5134647018
11258,1370507.3169533662
11259,307601.12000314734
11260,2036757.232099169
11261,665739.4534226756
11262,305993.6054820179
11263,1340886.7760740353
11264,849200.9169413507
11265,133757.41380410586
11266,657761.7922382824
11267,305378.09948664176
11268,396238.96754433785
11269,1524234.784214401
11270,1293537.7935988053
11271,434294.9989665912
11272,744812.4188688189
11273,846386.5991968368
11274,501904.6553626104
11275,1747795.42368345
11276,225221.75454469837
11277,364622.7827035201
11278,1415861.273950472
11279,410898.6472369848
11280,1201169.8923291706
11281,1591683.7430976438
11282,1545243.4714945967
11283,820339.0473092553
11284,2158605.3278659536
11285,1233551.4116818453
11286,531508.766058701
11287,932794.4697076197
11288,509097.9854620157
11289,424397.63825780526
11290,256146.89007376335
11291,695893.4680874861
11292,1220491.536445714
11293,1905110.3820250449
11294,1433211.3785822343
11295,1121398.7626280861
11296,1288983.9946638916
11297,492851.3700276641
11298,348336.6719591605
11299,2087555.7318809
11300,276893.8561053368
11301,636807.2138134552
11302,1734359.0881828335
